رقم تعريف قائمة التشغيل,معرّف القناة,تاريخ الإنشاء ووقته,تاريخ آخر تعديل ووقته,العنوان,الوصف,مستوى العرض
UUQiupx81V3b5Aqr1vLMXK1A,UCQiupx81V3b5Aqr1vLMXK1A,,,Uploads from Jana Ashraf,,

معرِّف الفيديو,تاريخ الإضافة ووقتها

